election_event_alias,voting_card_set_alias,voting_card_alias,extended_authentication_code
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910004,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910011,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910012,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910013,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910014,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910015,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910017,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910018,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910022,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910024,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910026,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910027,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910029,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910030,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910031,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910032,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910034,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,230910041,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,30910045,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910045,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910046,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910047,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910048,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910049,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910050,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910051,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910052,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910053,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910054,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910055,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910056,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910057,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910058,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910059,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910061,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330912061,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330810062,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910062,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910063,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910064,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910065,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910066,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910067,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910068,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910069,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910070,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910071,1960
